file_index,norm_T,norm_Td,norm_combined
129,26.171692266493906,24.35685864278588,35.75211936426581
130,28.533857377460738,27.450378873551525,39.59424601048483
131,25.363957677624906,26.88972445865597,36.96468085260292
132,18.798193585223228,38.747270425538424,43.06649564913928
133,20.128703943947038,35.11723713527065,40.47696958120631
134,26.95419398955883,21.611921476443836,34.5485704990922
135,30.245887702694194,29.180157163204935,42.027316057456346
136,28.721251136214104,34.506952116455864,44.8958796683711
137,22.967051618516336,39.1923569401067,45.42605312558338
138,23.088433667044054,39.87911621250175,46.080578111474615
139,28.972709368332918,39.55757117508794,49.0328392550751
140,28.748846651145044,43.64387031550084,52.261683860045196
141,20.65301053380119,34.49481390564445,40.20496275951944
142,22.321020375026826,29.05085756401154,36.6357786294607
143,24.368392913951222,38.73894060026123,45.7659708958444
144,27.89764262922718,36.015443289543164,45.55645530120153
145,15.278056141606758,36.556822520053615,39.62095748753161
146,17.091424365664956,33.77740713543513,37.85538296781833
147,18.029297809288177,27.527892303025897,32.90654090212151
148,16.4559997550456,19.27292315698748,25.342562912089317
149,18.35641181859259,35.02683928843196,39.545383110944904
150,21.259867318472434,40.18525836555456,45.46247846637295
151,34.17964077003369,23.652359178165486,41.565393512650616
152,11.698394778519654,33.49663469001424,35.480656363015065
153,12.628886276653407,28.1084251305605,30.815131541321872
154,14.966050546849702,27.67375119585611,31.461391803621904
155,16.873351465966817,17.467595722297002,24.286351928843754
156,14.236578220065606,11.706503526843793,18.431559463052835
157,16.09739926630339,12.876008386626031,20.61353572561604
158,8.633455894336215,27.81386361027587,29.122973227513654
159,7.389207236794087,22.381235457908147,23.569473566683982
160,15.849615083662545,15.91337978028095,22.459874316917222
161,17.7719413618033,95.80007561840866,97.43457491188735
162,44.12121115937118,58.8602832305841,73.56095578603095
163,19.146792339500657,7.792690802015686,20.671857362795947
164,6.366346961346295,6.006086807953077,8.752339822979405
165,10.240950993738217,14.541070046043782,17.785381506734666
166,9.492947901238342,13.601821527719128,16.586910765044497
167,13.1278776949585,8.100704041534271,15.426035742935335
168,14.994778115398333,8.313142272347875,17.145019835810224
