file_index,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,level_12,level_13,level_14,level_15,level_16,level_17,level_18,level_19,level_20
11,-9.053490990993055,-8.871881401000223,-8.99420757607328,-9.202990130725311,-9.429866342814023,-9.805880221974064,-9.906181034903852,-9.730519954269823,-8.577630521381138,-8.339051500820744,-8.576983532994575,-8.333614566840595,-8.514619198369303,-8.28164819334836,-6.923563183792737,-7.337020948254349,-7.571649942899796,-7.456627211627222,-7.863490794428174,-8.329921293984,-8.166438088625455
12,-7.753490990993043,-7.571881401000212,-6.410874242739965,-6.434158961894127,-6.637558650506321,-6.933152949246789,-7.224362853085665,-7.557792681542537,-7.954553598304187,-8.366324228093504,-8.646983532994568,-8.841306874532961,-9.15795253170262,-8.789981526681743,-8.773563183792703,-8.995354281587652,-8.171649942899762,-7.356627211627199,-7.063490794428219,-6.946587960650618,-6.841185563372903
13,-9.053490990993055,-8.521881401000257,-8.6997631316288,-8.7887044164396,-8.997558650506335,-8.578607494701316,-8.824362853085688,-8.948701772451614,-8.55455359830421,-8.048142409911634,-7.91971080572182,-8.153614566840588,-7.847952531702617,-7.35164819334841,-6.1326540928836835,-6.404445190678587,-6.541649942899824,-6.136627211627172,-6.345308976246372,-6.346587960650652,-6.360074452261813
14,-9.253490990993043,-8.860770289889103,-8.98865202051769,-8.428704416439587,-8.137558650506321,-8.078607494701316,-6.406181034903852,-6.030519954269835,-5.845462689213264,-6.03541513718443,-5.810619896630897,-5.133614566840606,-4.847952531702617,-5.181648193348394,-5.323563183792714,-5.455354281587688,-5.65164994289978,-6.066627211627178,-6.190763521700887,-6.276587960650659,-6.630074452261795
15,-8.153490990993078,-6.779573708692567,-6.855318687184365,-6.888704416439509,-6.637558650506321,-6.020274161367979,-5.6243628530856995,-5.294156317906186,-5.30000814375876,-5.592081803851045,-5.871983532994534,-6.300281233507235,-6.684316168066232,-7.056648193348337,-7.123563183792726,-6.79535428158772,-7.0171044883543345,-6.956627211627222,-6.77182412776159,-6.246587960650629,-5.330074452261783
16,-6.6534909909930775,-6.721881401000246,-6.7708742427399216,-6.013704416439623,-5.383013195960871,-4.196789312883141,-4.160726489449303,-4.280519954269835,-4.421220264970884,-4.7254151371843705,-5.046983532994545,-5.033614566840583,-5.275225258975354,-5.398314860015034,-5.696290456520046,-5.195354281587697,-4.996649942899808,-4.956627211627222,-4.763490794428208,-5.201133415196068,-5.588407785595109
17,-8.153490990993078,-7.699154128272994,-7.510874242739931,-6.488704416439589,-6.077558650506376,-5.578607494701316,-5.424362853085654,-5.030519954269835,-4.654553598304233,-3.1468437086129484,-2.976983532994552,-2.9336145668405607,-2.8179525317025877,-3.2354943471945603,-3.4599268201563973,-3.79535428158772,-4.071649942899796,-4.266627211627167,-4.763490794428208,-5.055678869741541,-5.471741118928492
18,-7.853490990993066,-7.616325845444692,-7.29087424273996,-7.261431689166841,-7.4375586505063325,-7.4240620401558886,-7.460726489449314,-7.330519954269846,-7.545462689213309,-7.484506046275271,-7.283347169358194,-6.233614566840572,-6.247952531702595,-3.6998300115302527,-3.354332414561952,-3.5953542815876744,-3.8261953974452467,-4.256627211627176,-4.672581703519143,-5.136587960650672,-5.620983543170894
19,-10.053490990993055,-10.094103623222452,-10.190874242739937,-10.155371083106274,-10.137558650506321,-10.278607494701305,-10.399362853085677,-10.630519954269857,-10.404553598304233,-9.915415137184368,-9.846983532994557,-8.323614566840547,-5.847952531702617,-5.326092637792783,-5.645785406014966,-5.695354281587697,-5.471649942899774,-5.764319519319486,-6.1934907944282145,-6.646587960650663,-7.030074452261772
20,-8.153490990993078,-8.355214734333572,-8.49976313162881,-8.698704416439568,-8.912558650506355,-9.142243858337679,-9.274362853085677,-9.068019954269857,-9.171220264970884,-8.775415137184382,-7.946983532994523,-7.415432748658759,-7.377952531702647,-7.81498152668172,-7.212452072681629,-7.113536099769476,-7.351649942899826,-7.15662721162721,-7.313490794428219,-7.346587960650652,-7.163407785595098
