file_index,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,level_12,level_13,level_14,level_15,level_16,level_17,level_18,level_19,level_20
11,-6.794594594594571,-6.839898641653406,-6.459402360808554,-6.384475736084198,-6.136932022672795,-5.692134369946871,-5.99715881327063,-6.3579298166799845,-7.864965573090899,-9.09603609537811,-8.807414505383178,-9.898134822665668,-10.36674701909078,-12.369530112480675,-18.106865637794158,-14.321607208778403,-14.562846226596434,-20.570349116911643,-23.117658592033536,-13.125397758836016,-12.560508532383608
12,-7.594594594594582,-9.082755784510539,-12.363190239596406,-12.877332878941331,-12.836932022672784,-12.446679824492321,-11.842613358725146,-11.457929816680007,-11.092316000441315,-11.032399731741748,-11.040747838716527,-11.905827130357977,-11.766747019090758,-12.000299343249935,-11.265198971127461,-10.5382738754451,-11.562846226596434,-11.333985480547938,-11.071504745879679,-10.112064425502695,-9.324144896019959
13,-9.294594594594571,-9.439898641653429,-9.21773569414188,-9.477332878941297,-9.296932022672763,-12.44213436994687,-12.282613358725143,-12.55792981668003,-12.003427111552469,-12.432399731741725,-13.180141778110453,-13.098134822665656,-16.984928837272605,-26.530299343249908,-17.48792624385476,-13.379182966354165,-11.172846226596448,-7.810349116911539,-6.235141109516064,-8.252064425502681,-9.684144896019973
14,-7.194594594594548,-7.551009752764514,-7.095513471919617,-9.11733287894134,-8.864204749945486,-8.39213436994686,-10.24261335872518,-10.857929816679984,-9.994336202461568,-9.532399731741748,-9.043778141746827,-5.167365591896441,-1.5052085575522938,-0.8002993432498897,0.6848010288725277,0.9517261245549093,0.7371537734035769,1.0196508830884454,0.4284952541203211,1.6579355744972872,1.9758551039800523
15,-12.194594594594548,-12.747590949345692,-13.01773569414189,-13.57733287894132,-16.22784111358186,-20.550467703280162,-19.360795176906947,-24.49429345304361,-30.157972566097953,-33.49906639840839,-34.082414505383156,-29.398134822665668,-25.58492883727257,-24.650299343249912,-32.41519897112747,-32.97160720877841,-34.19920986296006,-39.28701578357828,-33.65483807921299,-30.69660988004813,-27.496872168747245
16,-2.5945945945945823,-2.9398986416534285,-2.317735694141845,-1.79399954560796,-1.636932022672795,-1.2921343699468366,-0.9789769950888285,-1.0079298166800186,-0.6034271115524348,-0.03239973174174793,0.41758549461684424,0.21095608642519892,0.505980253636551,0.6997006567501103,0.7120737561452302,-0.12463751180877125,-1.2128462265964117,-2.270349116911575,-1.8624138367887895,-1.4420644255026787,-1.1824782293533076
17,-4.694594594594548,-5.185353187107978,-4.233120309526498,-3.8864237880321753,-3.7769320226727814,-3.492134369946882,-3.45928002539182,-3.512475271225469,-3.3659271115524803,-6.618114017456037,-7.707414505383156,-6.798134822665645,-6.6367470190907625,-6.100299343249901,-5.71519897112745,-4.488273875445088,-3.5184017821520115,-2.5703491169115864,-1.2715047458796676,-0.1511553345935681,-0.3074782293533076
18,-5.094594594594582,-5.628787530542297,-5.217735694141879,-4.977332878941297,-4.648043133783858,-4.446679824492321,-3.9789769950888285,-4.797929816679982,-4.694336202461557,-3.532399731741748,-3.5437781417468273,-3.198134822665679,-2.266747019090758,-5.15484479779542,-5.615198971127484,-4.688273875445077,-4.1628462265964,-3.670349116911609,-2.571504745879679,-1.74206442550269,-1.324144896019959
19,-6.894594594594594,-7.317676419431166,-6.897735694141886,-6.977332878941297,-6.836932022672784,-6.592134369946848,-6.442613358725168,-6.067020725770931,-5.753427111552469,-5.502399731741775,-5.09630339427207,-3.88813482266562,-2.633413685757432,-3.3336326765833064,-4.270754526683049,-4.2882738754451,-3.9628462265964117,-3.9857337322961826,-3.3715047458796903,-2.6420644255026673,-2.224144896019993
20,-8.194594594594548,-8.773231974986686,-8.117735694141857,-8.07733287894132,-7.736932022672761,-7.292134369946837,-6.642613358725157,-5.895429816680007,-5.30342711155248,-4.3323997317417025,-3.3074145053831785,-2.716316640847481,-2.496747019090776,-1.9002993432499125,-1.1485323044607867,-1.6064556936269128,-1.0828462265964163,-0.48463483119729744,-0.42150474587970166,0.3379355744973509,-0.5574782293532508
