file_index,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,level_12,level_13,level_14,level_15,level_16,level_17,level_18,level_19,level_20
580,302.25,302.18,301.3375,301.17499999999995,300.49545454545455,299.95,299.25,299.95,299.9045454545454,299.61,298.59999999999997,297.6409090909091,296.84999999999997,296.07499999999993,295.45,294.525,293.75,293.41666666666663,292.80454545454546,292.21363636363634,291.65
581,303.75,303.9,302.95,302.52272727272725,302.25,302.04999999999995,301.2944444444444,300.9625,300.28999999999996,299.5277777777777,298.76,297.89,296.9916666666666,296.06999999999994,295.40999999999997,294.54999999999995,293.75,292.84999999999997,292.15,291.71666666666664,291.15
582,301.45,301.65,300.95,300.75,300.7833333333333,300.0333333333333,299.84999999999997,299.84999999999997,300.026923076923,299.18333333333334,298.54090909090905,298.16666666666663,297.9083333333333,296.9863636363636,296.0681818181818,295.1583333333333,294.675,294.0681818181818,293.23333333333335,292.34999999999997,291.7136363636364
583,301.75,302.04999999999995,301.01363636363635,300.14230769230767,299.21428571428567,298.4428571428572,297.65,297.23999999999995,296.53,296.04999999999995,295.6318181818182,295.54999999999995,295.1318181818181,294.54999999999995,294.0807692307692,293.59999999999997,293.13461538461536,292.9785714285714,292.6033333333333,291.8136363636363,290.95
584,301.25,301.43749999999994,300.75,300.42777777777775,299.42,298.9863636363636,298.1653846153846,297.7772727272727,297.20384615384614,296.54999999999995,295.95,295.5899999999999,295.0083333333333,294.43,293.8722222222222,293.3884615384615,292.54999999999995,291.9423076923077,291.2,290.57499999999993,289.95
585,302.25,302.34999999999997,301.65,300.84999999999997,299.85,298.8884615384615,297.95,297.53,297.04999999999995,297.34999999999997,296.97999999999996,296.69,295.80833333333334,295.25,294.65,294.05769230769226,293.3583333333333,292.84999999999997,292.48749999999995,291.55999999999995,290.89166666666665
586,301.95,302.29166666666663,301.28999999999996,300.40999999999997,299.53999999999996,298.6833333333333,297.89,296.92499999999995,296.1714285714286,295.90384615384613,295.20454545454544,294.84999999999997,294.8833333333333,293.78,293.1045454545454,293.66999999999996,293.82272727272726,292.90999999999997,292.1590909090909,291.5318181818181,290.95
587,301.25,301.25,300.45,300.15000000000003,299.32,298.3833333333333,297.84999999999997,297.47999999999996,296.8833333333333,296.45,296.14,295.54090909090905,294.91666666666663,294.41999999999996,294.04999999999995,293.78846153846155,293.525,292.78846153846155,292.28,291.78999999999996,291.20384615384614
588,302.25,302.34999999999997,302.0199999999999,300.8416666666667,299.9961538461538,298.93333333333334,298.8653846153846,299.0142857142857,298.12692307692305,297.39666666666665,296.84999999999997,296.22142857142853,295.5884615384615,295.15,294.34999999999997,293.4083333333333,293.0333333333333,292.54999999999995,292.04999999999995,291.45,290.96428571428567
589,302.25,302.25,301.25,300.45,299.65,298.54999999999995,297.8681818181818,296.78,296.92499999999995,296.5863636363636,295.6590909090909,294.81666666666666,294.45,293.95,293.45,292.8333333333333,292.0833333333333,291.46,291.03999999999996,290.52272727272725,290.0611111111111
590,301.95,302.6136363636364,301.55909090909086,300.52,299.54999999999995,299.95,299.1318181818181,298.1590909090909,297.65,297.54999999999995,297.17727272727274,296.76666666666665,295.9807692307692,295.2730769230769,294.375,294.1038461538461,293.22857142857146,292.45,292.04999999999995,291.70714285714286,291.225
591,301.75,302.11999999999995,301.09,300.65,300.26,299.7333333333333,298.7681818181818,298.04999999999995,297.75,297.25,296.81999999999994,296.08333333333326,295.3333333333333,294.65,293.9916666666667,293.3499999999999,292.84999999999997,292.10833333333335,291.5115384615384,290.95,290.3576923076923
592,301.95,302.0357142857142,301.3333333333333,300.35588235294114,299.15,298.41666666666663,297.95,297.65,297.04999999999995,296.2318181818182,295.7423076923077,294.78,294.58636363636356,294.15,293.54090909090905,293.15,292.75,292.0583333333333,291.95,291.09166666666664,290.44166666666666
593,302.45,302.59166666666664,301.62999999999994,301.04999999999995,300.2318181818182,300.34999999999997,299.84999999999997,298.84999999999997,298.48333333333335,297.2681818181818,296.49666666666667,295.8576923076923,294.93333333333334,295.2416666666667,294.45833333333337,293.9772727272727,293.34999999999997,292.6833333333333,291.6653846153846,291.15,290.5730769230769
594,302.25,302.67499999999995,301.7227272727273,300.71666666666664,299.95,299.79,299.65,299.33181818181816,298.93333333333334,298.04999999999995,297.1916666666666,296.94166666666666,296.2227272727273,295.5583333333333,294.91666666666663,294.3428571428571,293.75,293.00454545454545,292.34999999999997,291.68,290.91363636363633
595,302.45,303.14166666666665,302.1722222222222,301.20454545454544,300.65,300.17499999999995,299.65,299.9583333333333,299.65,298.84999999999997,298.47999999999996,297.6227272727272,296.4,295.48571428571427,294.75,294.54999999999995,293.8833333333333,293.25,292.57727272727266,292.17499999999995,291.51363636363635
596,303.25,303.35909090909087,302.15,301.54999999999995,301.7833333333333,302.0730769230769,301.77,300.8357142857143,300.34090909090907,299.7590909090909,298.7863636363636,297.8285714285714,296.93333333333334,296.0730769230769,295.46999999999997,294.89166666666665,294.25,294.08333333333326,293.23333333333335,293.04999999999995,292.65
597,301.75,302.64,301.53888888888883,300.6833333333333,299.96999999999997,299.15,298.34999999999997,298.15,297.7833333333333,297.59,297.25,297.1045454545454,296.21153846153845,295.36818181818177,294.41363636363633,293.79166666666663,293.2954545454545,292.75,292.3045454545454,292.15,291.75
598,302.25,302.34090909090907,301.2730769230769,300.1583333333333,299.34999999999997,298.66999999999996,298.1045454545454,297.5714285714285,296.69545454545454,295.95,295.725,295.00555555555553,294.28999999999996,293.65,293.06818181818176,292.1590909090909,291.7269230769231,291.0730769230769,290.78846153846155,290.26666666666665,290.01363636363635
599,301.65,301.9590909090909,301.03999999999996,300.25,299.52,298.92272727272723,298.225,297.48333333333335,297.0333333333333,297.04999999999995,296.5346153846154,295.95,295.65,295.44166666666666,294.82499999999993,293.96666666666664,293.25,292.65,291.93333333333334,291.46999999999997,291.04999999999995
600,301.65,302.34999999999997,301.59545454545446,300.63461538461536,299.7,298.9884615384615,298.4611111111111,298.95,298.3954545454545,297.95,297.33333333333326,296.45,296.04166666666663,295.34090909090907,294.8333333333333,294.25,293.84999999999997,293.54999999999995,292.59999999999997,292.34999999999997,291.9
