window_id,lambda_center_um,lambda_start_um,lambda_end_um,num_points,E_L2,dominant_pc,dominant_sign,dominance_index,opposition_fraction,V_PC1,V_PC2,V_PC3,V_PC4,V_PC5,V_PC6,V_PC7,V_PC8,V_PC9
70,9.750000000000007,9.500000000000007,10.000000000000007,53,0.18947006736026836,PC1,1,0.837216591144047,0.6666666666666666,0.1879879581192199,0.02116285218501964,-0.010107438574730693,-0.002478483677447358,0.0009937448413290223,0.0014909924410520176,-2.8499542077708722e-05,6.949907978591719e-05,0.00021974887894692173
71,9.850000000000007,9.600000000000007,10.100000000000007,51,0.1954918375347953,PC1,1,0.8320614000287784,0.6666666666666666,0.19383353587155575,0.0227623610837422,-0.010808188097987354,-0.002703231831672812,0.0009707493552787366,0.0015387441729677932,-3.249964622388705e-05,7.799895813978437e-05,0.00022849912934446755
72,9.950000000000006,9.700000000000006,10.200000000000006,50,0.20688321088919023,PC1,1,0.8266578806604401,0.6666666666666666,0.20497654083256936,0.025134400599671893,-0.011864452303832972,-0.0030227339234744012,0.0009557546000381728,0.0016299973043767044,-3.925045612467993e-05,8.874890580159067e-05,0.00024624937358018494
73,10.050000000000006,9.800000000000006,10.300000000000006,50,0.22558887142366013,PC1,1,0.8261933315183416,0.6666666666666666,0.22349070164070178,0.02756815348759914,-0.012925461576816264,-0.0032977424865361054,0.0010329928818307902,0.0017739923494856844,-4.5251174292465576e-05,0.00010249812246434327,0.00026974889540257077
74,10.150000000000006,9.900000000000006,10.400000000000006,49,0.23287677409980934,PC1,1,0.8216773568258808,0.6666666666666666,0.23055554028685626,0.02947611419332089,-0.013774437040677474,-0.0035839767312770086,0.000966009401037823,0.001812749585758505,-3.9502556310175805e-05,9.324925512420865e-05,0.00028974839899875227
75,10.250000000000007,10.000000000000007,10.500000000000007,47,0.23828232494111168,PC1,1,0.8212687445547536,0.6666666666666666,0.23589286445506763,0.03026222539259696,-0.014113484256742892,-0.003672998595186199,0.0009874946128284197,0.0018614936914350343,-4.3000329529814834e-05,0.00010174725948730464,0.00029450018665712466
76,10.350000000000007,10.100000000000007,10.600000000000007,47,0.25203302747195516,PC1,1,0.8230190327105517,0.6666666666666666,0.2495719890530717,0.03159718711017941,-0.014712220900027701,-0.0037909926897403234,0.0010949980628162561,0.0019892456986504822,-5.7251269429107156e-05,0.00012374862655039194,0.00030199913013946296
77,10.450000000000006,10.200000000000006,10.700000000000006,46,0.25987932329527547,PC1,1,0.8226275587299952,0.6666666666666666,0.2573271827149919,0.03267716153675011,-0.015205209088228777,-0.003921989075507807,0.0011262484010227728,0.0020544949623592964,-5.875003007871975e-05,0.00012874882639397464,0.0003114991396276612
78,10.550000000000008,10.300000000000008,10.800000000000008,45,0.2632975327063618,PC1,1,0.818242996484098,0.6666666666666666,0.26054618459621665,0.034131905498597445,-0.015917207154782835,-0.004160987957875107,0.0010644985275726428,0.0020884953911420702,-6.225071659910717e-05,0.00012999828672271944,0.00031999911332207754
79,10.650000000000007,10.400000000000007,10.900000000000007,44,0.2706662889389304,PC1,1,0.8198755174338286,0.6666666666666666,0.26790787965147,0.034662946444851406,-0.016137975199022776,-0.004178496022095693,0.0011647434450601083,0.002169743538344546,-7.424981864841452e-05,0.00015324813646450412,0.00031724992445080185
80,10.750000000000007,10.500000000000007,11.000000000000007,43,0.2744634669023741,PC1,1,0.8181991022775528,0.6666666666666666,0.2715992830442028,0.035563682431429065,-0.016563472412960526,-0.004310745761158814,0.0011527412177723,0.0022032434810608623,-7.550104405190237e-05,0.00015599840275120494,0.0003229990844398509
81,10.850000000000007,10.600000000000007,11.100000000000007,43,0.28651138864073056,PC1,1,0.8180393943089769,0.6666666666666666,0.2835192554257367,0.037141415472492445,-0.017289961865235248,-0.004488739105639872,0.001224248969459548,0.0023199959908603534,-8.925079415933744e-05,0.00017924853640944495,0.000331749358163575
82,10.950000000000006,10.700000000000006,11.200000000000006,42,0.2904208459788044,PC1,1,0.8168263243917657,0.6666666666666666,0.28733552796353323,0.03797892338492635,-0.017657965276507915,-0.00459824023743642,0.0012274987054359098,0.0023564959778316396,-9.375073290556004e-05,0.00018699945504181258,0.00033524936224562827
83,11.050000000000008,10.800000000000008,11.300000000000008,41,0.2946666317445841,PC1,1,0.8185583955046959,0.6666666666666666,0.29161556320284987,0.038061338532617305,-0.017653917452337554,-0.004556969321184395,0.0013135128228025346,0.0024095003370693782,-0.00010500022645784266,0.0002085016862806129,0.0003307477431742749
84,11.150000000000007,10.900000000000007,11.400000000000007,40,0.29541154821073323,PC1,1,0.8182046285580479,0.6666666666666666,0.29233506108952867,0.038282931763485864,-0.01771847255483343,-0.004578493672244932,0.0013089942362659542,0.002413495388729725,-0.00010599974661462538,0.00021349894949651313,0.0003314996279028893
85,11.250000000000007,11.000000000000007,11.500000000000007,40,0.3030801064307235,PC1,1,0.8169979265708298,0.6666666666666666,0.2998695436698416,0.03962092759566296,-0.01831235242882108,-0.004747687770085408,0.0013280290159119973,0.002482762196740287,-0.00011100842985202885,0.0002250117287547772,0.00034099380789641973
86,11.350000000000009,11.100000000000009,11.600000000000009,38,0.29607253622981466,PC1,1,0.816581559678049,0.6666666666666666,0.2929175150723851,0.038825675092271125,-0.01792896624803852,-0.004652490837594059,0.0012952484975108822,0.0024289959496413722,-0.00010824980644235074,0.00022149961824042633,0.0003332494425770817
