lambda_um,DeltaI_W_m2_sr_um
2.5464731347084286,7.510187223000106e-05
2.547121752419766,7.41388195599985e-05
2.5477707006369426,7.163615625000071e-05
2.5484199796126403,7.206159168000013e-05
2.549069589599796,7.479505494000036e-05
2.5497195308516063,7.629513663999846e-05
2.550369803621525,7.548752330999945e-05
2.5510204081632653,7.283673600000026e-05
2.551671344730799,7.617846256000038e-05
2.5523226135783563,7.55255620800005e-05
2.552974214960429,7.364586719999996e-05
2.5536261491317673,7.560182607999934e-05
2.554278416347382,7.801557525000113e-05
2.5549310168625445,7.812891960000054e-05
2.555583950932788,7.839523327999882e-05
2.556237218813906,7.866124415999935e-05
2.5568908207619536,7.907991157000017e-05
2.557544757033248,7.934523900000011e-05
2.5581990278843696,7.976306682000011e-05
2.5588536335721597,7.972226207999915e-05
2.5595085743537243,7.861294234999799e-05
2.5601638504864312,7.597904328000057e-05
2.560819462227913,7.609263474999978e-05
2.5614754098360657,7.559643136000136e-05
2.5621316935690492,7.692871545000087e-05
2.5627883136852896,7.597576396000012e-05
2.5634452704434763,7.791514112000068e-05
2.5641025641025643,7.802730000000101e-05
2.564760194921775,7.722718107999911e-05
2.565418163160595,7.840312464000004e-05
2.5660764690787787,8.140022423999867e-05
2.566735112936345,8.25727590400005e-05
2.5673940949935816,8.222695550000152e-05
2.568053415511043,8.006188607999863e-05
2.5687130747495504,8.062698868000016e-05
2.5693730729701953,7.937375936000173e-05
2.570033410434336,7.93329764399997e-05
2.570694087403599,8.171334000000013e-05
2.5713551041398817,8.363749512999962e-05
2.57201646090535,8.359448832000096e-05
2.572678157962439,8.219170336000187e-05
2.573340195573855,8.0186288759998e-05
2.574002574002574,8.165434724999917e-05
2.5746652935118433,8.251744431999903e-05
2.5753283543651815,8.292728950000036e-05
2.575991756826378,8.393947668000005e-05
2.576655501159495,8.208877745000034e-05
2.577319587628866,8.189593599999996e-05
2.577984016499098,8.501352165000194e-05
2.5786487880350695,8.677436067999929e-05
2.5793139025019345,8.657930304000003e-05
2.579979360165119,8.653464576000025e-05
2.5806451612903225,8.498843750000002e-05
2.581311306143521,8.35938693200004e-05
2.581977794990963,8.595073917000082e-05
2.5826446280991737,8.620620800000017e-05
2.5833118057349522,8.48130680599999e-05
2.5839793281653747,8.431994699999949e-05
2.5846471956577926,8.502483448000111e-05
2.5853154084798344,8.722510191999915e-05
2.585983966899405,8.792769132000017e-05
2.586652871184687,8.65370852400002e-05
2.5873221216041395,8.574541149999979e-05
2.587991718426501,8.704479167999987e-05
2.588661661920787,8.789510940999945e-05
2.589331952356292,8.725300740000056e-05
2.59000259000259,8.914577958000006e-05
2.5906735751295336,9.088755999999906e-05
2.591344908007256,9.0691555290001e-05
2.592016588906169,9.004919219999987e-05
2.5926886180969664,8.866363603999942e-05
2.5933609958506225,8.936110336000159e-05
2.594033722438392,8.872031924999756e-05
2.5947067981318113,8.852576335999923e-05
2.595380223202699,8.907365400000027e-05
2.596053997923157,8.917580304000031e-05
2.596728122565567,9.076083012000014e-05
2.5974025974025974,9.14548250000001e-05
2.5980774227071968,9.214806222000022e-05
2.598752598752599,9.506160768000052e-05
2.599428125812321,9.530819395999965e-05
2.6001040041601664,9.511073387999912e-05
2.600780234070221,9.402639900000023e-05
2.6014568158168574,9.24998633600009e-05
2.602133749674733,9.40762941300001e-05
2.6028110359187924,9.447016959999999e-05
2.6034886748242645,9.309320311e-05
2.6041666666666665,9.333964800000046e-05
2.6048450117218027,9.402793597999837e-05
2.6055237102657633,9.3242444520001e-05
2.6062027625749282,9.451889298000074e-05
2.6068821689259645,9.520537711999941e-05
2.607561929595828,9.471452899999927e-05
2.6082420448617634,9.672307848000196e-05
2.6089225150013045,9.755414295999944e-05
2.6096033402922756,9.647535167999974e-05
2.6102845210127903,9.774589626000002e-05
