lambda_um,PC1_sens,PC2_sens,PC3_sens,PC4_sens,PC5_sens,PC6_sens,PC7_sens,PC8_sens,PC9_sens
2.596728123,0.0008676409999999999,-9.025e-05,3.725e-05,4.545e-05,2.955e-05,5.61e-05,-3.9850000000000006e-05,4.74e-05,-1.015e-05
2.597402597,0.0008697845,-9.105e-05,3.7699999999999995e-05,4.5950000000000006e-05,2.955e-05,5.64e-05,-4.015e-05,4.745e-05,-9.93e-06
2.598077423,0.0008709620000000001,-9.155e-05,3.8249999999999995e-05,4.645e-05,2.945e-05,5.68e-05,-4.0449999999999994e-05,4.735e-05,-9.705e-06
2.598752599,0.000873101,-9.449999999999999e-05,4.0499999999999995e-05,4.88e-05,2.945e-05,5.81e-05,-4.1049999999999995e-05,4.635e-05,-8.515e-06
2.599428126,0.000876125,-9.485e-05,4.065e-05,4.8899999999999996e-05,2.96e-05,5.8349999999999995e-05,-4.11e-05,4.655e-05,-8.58e-06
2.600104004,0.0008792195,-9.449999999999999e-05,4.025e-05,4.86e-05,2.9749999999999998e-05,5.8200000000000005e-05,-4.115e-05,4.695e-05,-8.95e-06
2.600780234,0.00088268,-9.355e-05,3.9349999999999994e-05,4.7749999999999995e-05,2.995e-05,5.79e-05,-4.105e-05,4.77e-05,-9.61e-06
2.601456816,0.0008890185,-9.205e-05,3.77e-05,4.615e-05,3.03e-05,5.715e-05,-4.07e-05,4.8700000000000005e-05,-1.0549999999999999e-05
2.60213375,0.000889073,-9.355e-05,3.895e-05,4.75e-05,3.0200000000000002e-05,5.795e-05,-4.13e-05,4.8249999999999994e-05,-9.89e-06
2.602811036,0.0008911934999999999,-9.405000000000001e-05,3.935e-05,4.79e-05,3.01e-05,5.8349999999999995e-05,-4.1400000000000003e-05,4.8349999999999996e-05,-9.815e-06
2.603488675,0.0008983274999999999,-9.265e-05,3.78e-05,4.64e-05,3.07e-05,5.755e-05,-4.1099999999999996e-05,4.92e-05,-1.08e-05
2.604166667,0.000901325,-9.295000000000001e-05,3.79e-05,4.6500000000000005e-05,3.08e-05,5.785e-05,-4.11e-05,4.935e-05,-1.085e-05
2.604845012,0.000903582,-9.35e-05,3.825e-05,4.685e-05,3.0850000000000004e-05,5.8e-05,-4.1450000000000005e-05,4.955e-05,-1.08e-05
2.60552371,0.000908856,-9.28e-05,3.74e-05,4.61e-05,3.115e-05,5.7749999999999994e-05,-4.12e-05,4.9999999999999996e-05,-1.1249999999999999e-05
2.606202763,0.0009097815,-9.405000000000001e-05,3.85e-05,4.7149999999999994e-05,3.11e-05,5.845e-05,-4.1649999999999996e-05,4.975e-05,-1.09e-05
2.606882169,0.0009111465,-9.475e-05,3.905e-05,4.775e-05,3.1e-05,5.8849999999999994e-05,-4.19e-05,4.9800000000000004e-05,-1.065e-05
2.60756193,0.0009168485,-9.42e-05,3.8249999999999995e-05,4.7000000000000004e-05,3.1400000000000004e-05,5.86e-05,-4.175e-05,5.03e-05,-1.12e-05
2.608242045,0.000915856,-9.625000000000001e-05,4.005e-05,4.885e-05,3.1e-05,5.965e-05,-4.24e-05,4.975e-05,-1.03e-05
2.608922515,0.000917435,-9.715e-05,4.075e-05,4.955e-05,3.1e-05,6.015e-05,-4.28e-05,4.975e-05,-9.99e-06
2.60960334,0.0009257665,-9.595e-05,3.93e-05,4.8150000000000005e-05,3.165e-05,5.955e-05,-4.235e-05,5.0549999999999995e-05,-1.095e-05
2.610284521,0.0009257975000000001,-9.715e-05,4.0350000000000005e-05,4.925e-05,3.1450000000000006e-05,6.02e-05,-4.285e-05,5.025e-05,-1.0500000000000001e-05
2.610966057,0.0009255344999999999,-9.92e-05,4.225e-05,5.1049999999999994e-05,3.12e-05,6.135e-05,-4.35e-05,4.975e-05,-9.53e-06
2.61164795,0.0009294495,-9.97915e-05,4.2550000000000004e-05,5.135e-05,3.145e-05,6.15e-05,-4.355e-05,4.97e-05,-9.455e-06
2.612330199,0.0009343855,-9.835e-05,4.1e-05,4.99e-05,3.17e-05,6.095e-05,-4.3299999999999995e-05,5.075e-05,-1.04e-05
2.613012804,0.0009393895000000001,-9.77e-05,4.02e-05,4.915e-05,3.2000000000000005e-05,6.06e-05,-4.3249999999999994e-05,5.135e-05,-1.09e-05
2.613695766,0.000940875,-9.895e-05,4.125e-05,5.03e-05,3.2000000000000005e-05,6.13e-05,-4.3650000000000004e-05,5.1e-05,-1.045e-05
2.614379085,0.0009414075,-0.0001003025,4.245e-05,5.135e-05,3.18e-05,6.209999999999999e-05,-4.405e-05,5.075e-05,-9.95e-06
2.615062762,0.0009467645,-9.9707e-05,4.1649999999999996e-05,5.065e-05,3.2099999999999994e-05,6.180000000000001e-05,-4.3849999999999995e-05,5.135e-05,-1.05e-05
2.615746796,0.0009513850000000001,-9.925e-05,4.0950000000000006e-05,4.9949999999999994e-05,3.235e-05,6.15e-05,-4.3849999999999995e-05,5.185e-05,-1.1050000000000001e-05
2.616431188,0.000956073,-9.84e-05,4.01e-05,4.9250000000000004e-05,3.26e-05,6.125e-05,-4.375e-05,5.245e-05,-1.15e-05
2.617115938,0.000960537,-9.855e-05,3.995e-05,4.91e-05,3.285e-05,6.13e-05,-4.3700000000000005e-05,5.2799999999999996e-05,-1.1750000000000001e-05
2.617801047,0.000962442,-9.945e-05,4.0549999999999996e-05,4.975e-05,3.29e-05,6.180000000000001e-05,-4.405e-05,5.2650000000000006e-05,-1.15e-05
2.618486515,0.0009631045,-0.00010063450000000001,4.1649999999999996e-05,5.085e-05,3.2749999999999996e-05,6.245e-05,-4.4399999999999995e-05,5.2550000000000003e-05,-1.1e-05
2.619172342,0.000965516,-0.000101165,4.195e-05,5.1149999999999996e-05,3.2749999999999996e-05,6.275000000000001e-05,-4.47e-05,5.2650000000000006e-05,-1.1e-05
2.619858528,0.0009711295,-0.000100675,4.125e-05,5.0549999999999995e-05,3.315e-05,6.25e-05,-4.455e-05,5.31e-05,-1.145e-05
2.620545073,0.000976955,-9.98155e-05,4.025e-05,4.96e-05,3.35e-05,6.209999999999999e-05,-4.435e-05,5.3750000000000005e-05,-1.22e-05
2.621231979,0.000976661,-0.000101734,4.195e-05,5.13e-05,3.325e-05,6.319999999999999e-05,-4.4949999999999995e-05,5.335e-05,-1.13e-05
2.621919245,0.0009760764999999999,-0.0001039355,4.395e-05,5.325e-05,3.295e-05,6.429999999999999e-05,-4.56e-05,5.2650000000000006e-05,-1.03e-05
2.622606871,0.0009791995,-0.0001056255,4.515e-05,5.445e-05,3.3e-05,6.500000000000001e-05,-4.5950000000000006e-05,5.2249999999999996e-05,-9.815e-06
2.623294858,0.0009840625,-0.0001068055,4.5950000000000006e-05,5.525e-05,3.3249999999999995e-05,6.549999999999999e-05,-4.615e-05,5.185e-05,-9.45e-06
2.623983207,0.000987468,-0.0001072575,4.6049999999999994e-05,5.5450000000000006e-05,3.34e-05,6.57e-05,-4.625e-05,5.195e-05,-9.44e-06
2.624671916,0.000988982,-0.00010691100000000001,4.58e-05,5.515e-05,3.34e-05,6.575e-05,-4.65e-05,5.2600000000000005e-05,-9.800000000000001e-06
2.625360987,0.0009920175,-0.00010612950000000001,4.505e-05,5.4499999999999997e-05,3.35e-05,6.555e-05,-4.6500000000000005e-05,5.3299999999999995e-05,-1.03e-05
2.62605042,0.0009989645,-0.0001043335,4.315e-05,5.27e-05,3.395e-05,6.47e-05,-4.605e-05,5.445e-05,-1.145e-05
2.626740215,0.0010059765,-0.000102902,4.155e-05,5.1149999999999996e-05,3.445e-05,6.400000000000001e-05,-4.565e-05,5.53e-05,-1.25e-05
2.627430373,0.0010055925,-0.000104948,4.34e-05,5.295e-05,3.425e-05,6.510000000000001e-05,-4.635e-05,5.4800000000000004e-05,-1.16e-05
2.628120894,0.0010051365,-0.00010684799999999999,4.51e-05,5.465e-05,3.395e-05,6.610000000000001e-05,-4.7000000000000004e-05,5.4250000000000004e-05,-1.07e-05
2.628811777,0.0010089495,-0.000106864,4.49e-05,5.4499999999999997e-05,3.415e-05,6.620000000000001e-05,-4.7050000000000005e-05,5.46e-05,-1.1e-05
2.629503024,0.001017242,-0.000105217,4.305e-05,5.27e-05,3.47e-05,6.535e-05,-4.655e-05,5.565e-05,-1.21e-05
2.630194634,0.001021405,-0.0001050895,4.2699999999999994e-05,5.245e-05,3.4899999999999995e-05,6.525e-05,-4.6599999999999994e-05,5.6049999999999994e-05,-1.24e-05
2.630886609,0.0010254185,-0.0001051785,4.255e-05,5.24e-05,3.515e-05,6.539999999999999e-05,-4.6649999999999996e-05,5.63e-05,-1.265e-05
2.631578947,0.001025962,-0.0001067115,4.3899999999999996e-05,5.3750000000000005e-05,3.4949999999999996e-05,6.630000000000001e-05,-4.7249999999999997e-05,5.6049999999999994e-05,-1.2e-05
2.63227165,0.0010266485,-0.000108243,4.525e-05,5.4949999999999994e-05,3.48e-05,6.705e-05,-4.77e-05,5.575e-05,-1.14e-05
2.632964718,0.001030941,-0.00010833,4.51e-05,5.49e-05,3.505e-05,6.71e-05,-4.7749999999999995e-05,5.605e-05,-1.16e-05
2.633658151,0.0010352274999999998,-0.000107985,4.46e-05,5.4499999999999997e-05,3.525e-05,6.705e-05,-4.7749999999999995e-05,5.6550000000000006e-05,-1.2e-05
2.634351949,0.001035259,-0.0001081445,4.6099999999999996e-05,5.575e-05,3.405e-05,6.76e-05,-4.825e-05,5.6699999999999996e-05,-1.155e-05
2.635046113,0.001039682,-0.000111832,4.7600000000000005e-05,5.755e-05,3.515e-05,6.884999999999999e-05,-4.8650000000000003e-05,5.55e-05,-1.05e-05
2.635740643,0.0010462595,-0.000113788,4.88e-05,5.88e-05,3.5499999999999996e-05,6.960000000000001e-05,-4.88e-05,5.47e-05,-9.79e-06
2.636435539,0.001052398,-0.0001145915,4.905e-05,5.905e-05,3.5850000000000004e-05,6.979999999999999e-05,-4.8750000000000006e-05,5.445e-05,-9.71e-06
2.637130802,0.0010609740000000001,-0.000115753,4.955e-05,5.965e-05,3.64e-05,7.005e-05,-4.855e-05,5.3750000000000005e-05,-9.35e-06
2.637826431,0.0010670975,-0.0001164105,4.965e-05,5.9800000000000003e-05,3.67e-05,7.01e-05,-4.845e-05,5.355e-05,-9.270000000000001e-06
2.638522427,0.001065888,-0.000115918,4.95e-05,5.97e-05,3.6450000000000005e-05,7.04e-05,-4.895e-05,5.465e-05,-9.695e-06
2.639218791,0.001066905,-0.000116001,4.96e-05,5.9800000000000003e-05,3.6400000000000004e-05,7.060000000000001e-05,-4.93e-05,5.52e-05,-9.835e-06
2.639915523,0.0010742339999999999,-0.0001172305,5.015e-05,6.04e-05,3.68e-05,7.089999999999999e-05,-4.9250000000000004e-05,5.46e-05,-9.54e-06
2.640612622,0.0010690769999999999,-0.0001155195,4.935e-05,5.945e-05,3.62e-05,7.084999999999999e-05,-4.9949999999999994e-05,5.64e-05,-1.05e-05
2.64131009,0.001071523,-0.000114455,4.845e-05,5.865e-05,3.635e-05,7.060000000000001e-05,-4.995e-05,5.735e-05,-1.12e-05
2.642007926,0.0010775469999999999,-0.00011274700000000001,4.6649999999999996e-05,5.695e-05,3.67e-05,6.994999999999999e-05,-4.965e-05,5.86e-05,-1.225e-05
2.642706131,0.0010784095,-0.000115838,4.92e-05,5.9499999999999996e-05,3.65e-05,7.135e-05,-5.04e-05,5.75e-05,-1.095e-05
2.643404705,0.001087929,-0.00011871000000000001,5.0950000000000005e-05,6.13e-05,3.71e-05,7.219999999999999e-05,-5.0350000000000004e-05,5.6099999999999995e-05,-9.87e-06
