window_id,lambda_center_um,lambda_start_um,lambda_end_um,num_points,E_L2,dominant_pc,dominant_sign,dominance_index,opposition_fraction,V_PC1,V_PC2,V_PC3,V_PC4,V_PC5,V_PC6,V_PC7,V_PC8,V_PC9,sum_absV
46,7.350000000000004,7.100000000000004,7.600000000000004,93,0.17642038572270136,PC6,1,0.15947299501691034,0.375,0.07663694279406244,-0.04533252347146841,0.03206045451574788,0.05500964433205605,0.04188391062863077,0.07915033843761145,-0.06688691193212533,0.07894352911225906,-0.02042014395859889,0.49632439918256027
37,6.450000000000003,6.200000000000003,6.700000000000003,120,0.16747328670001096,PC8,1,0.18148602949148473,0.375,0.062307710515560985,-0.04021875765096525,0.029612122719296956,0.049322224664176226,0.03325868744298477,0.07434541417005538,-0.07085416266274976,0.08448705824484926,-0.021123128736167313,0.46552926680680595
75,10.250000000000007,10.000000000000007,10.500000000000007,47,0.16707650672994656,PC1,1,0.3413613905684709,0.2857142857142857,0.11479590960288186,0.09018299743588046,-0.0744708584800165,-0.026518415228404493,0.007514223112501088,0.016632845740680427,-0.0005177371954258889,0.0012506483216801127,0.004404863742085701,0.33628849885955653
104,13.15000000000001,12.90000000000001,13.40000000000001,29,0.1589611090972304,PC1,1,0.36800642733271893,0.375,0.12027012466494086,0.07492511348003864,-0.0636595803725181,-0.017218292170369826,0.014729803731707423,0.02373195053506708,-0.004129671930019747,0.006366968002343153,0.001783778032505815,0.3268152829195106
34,6.150000000000003,5.900000000000003,6.400000000000003,132,0.15452373859943236,PC8,1,0.18011954132159394,0.375,0.05739625385037183,-0.037314697483727545,0.027680896709027895,0.04598666276201794,0.030625841329044362,0.0688591927816774,-0.06549923779692503,0.07737015825780025,-0.018816000194319553,0.42954894116491177
49,7.650000000000004,7.400000000000004,7.900000000000004,86,0.14380899544756376,PC1,1,0.22430569296966008,0.375,0.08738618944957363,-0.03198636230506711,0.019941471865541717,0.04240200534579798,0.040346836287141856,0.060922462286053955,-0.041355362729571396,0.05062027161320376,-0.014624288018030522,0.3895852498999819
72,9.950000000000006,9.700000000000006,10.200000000000006,50,0.1422531474566411,PC1,1,0.34857928004674305,0.2857142857142857,0.09975065802216787,0.07490181423958012,-0.06260367265719809,-0.021823616652816846,0.007272701250405624,0.014564375826878176,-0.00047258756608105904,0.001090876261935634,0.0036831723249722134,0.28616347480203563
31,5.850000000000003,5.600000000000003,6.100000000000003,146,0.1395359406800689,PC8,1,0.18216356237220885,0.375,0.051708236000321664,-0.033397421176555225,0.024657420760735585,0.041033863392750815,0.027515507802832333,0.06192770398742816,-0.059190116641386355,0.07060664435536183,-0.017563347075882384,0.38760026119325436
56,8.350000000000005,8.100000000000005,8.600000000000005,72,0.1310662402816292,PC1,1,0.4195106185023476,0.42857142857142855,0.10997373127434924,0.04966923910235672,-0.04063621526781598,-0.006548375651265224,0.017880152221691523,0.022217418837482582,-0.006011130226781564,0.008545817901975,0.0006655897396374988,0.26214767022335533
53,8.050000000000004,7.800000000000004,8.300000000000004,78,0.12426839838855054,PC1,1,0.4186503387482825,0.375,0.10924650436628813,0.021611018234466112,-0.0201351771000797,0.009891324962873588,0.026857406024898955,0.034195136343441776,-0.01536346101205436,0.01992491137021176,-0.0037243403424461223,0.2609492797567605
62,8.950000000000006,8.700000000000006,9.200000000000006,63,0.12302481380745661,PC1,1,0.37717884981798444,0.375,0.09394320021235004,0.058162276645592044,-0.048413769330970295,-0.014156143326059207,0.010487757055927388,0.015802051928937966,-0.0022967662044941547,0.0035401181647872998,0.0022659660357560118,0.24906804890487444
59,8.650000000000006,8.400000000000006,8.900000000000006,67,0.1219947910216557,PC1,1,0.3942452316859647,0.375,0.09726272010423462,0.05327065209990254,-0.04402508102917894,-0.01083694356825011,0.013034893586600448,0.01775874764391763,-0.003636175535529155,0.005325391861469742,0.0015555365534001015,0.24670614198248328
65,9.250000000000005,9.000000000000005,9.500000000000005,59,0.11870930296723457,PC1,1,0.37883641447540817,0.375,0.09011967234489708,0.056536197233128596,-0.047617211741182705,-0.01467611448156681,0.008933477200470889,0.014097580703534772,-0.001231125129709337,0.0020004918740015847,0.002673583016145146,0.23788545372463693
