lambda_um,S_rms_9,S_max_9
7.293946025,0.10389890247580333,0.3078851955
7.299270073,0.10325972030202797,0.3059347
7.304601899,0.10025693318848487,0.296773394
7.30994152,0.10178078463801409,0.3013928355
7.315288954,0.10713496415630068,0.317957433
7.320644217,0.10692754182315231,0.317305818
7.326007326,0.10490913691527863,0.31097225250000005
7.331378299,0.10053529458423088,0.297586335
7.336757153,0.10055139309947492,0.29780037049999997
7.342143906,0.09979266061369617,0.29532300499999997
7.347538575,0.10005476768945105,0.296186128
7.352941176,0.10453745377081863,0.309808
7.358351729,0.10603327109936979,0.31443149049999997
7.36377025,0.10574391628482001,0.313600088
7.369196758,0.1098372147752681,0.3263968355
7.374631268,0.10799524656147055,0.32058362149999997
7.380073801,0.10118890157725319,0.299547479
7.385524372,0.10747160382084979,0.318996984
7.390983001,0.11332220535201383,0.337381239
7.396449704,0.11205727400744007,0.3333182945
7.4019245,0.11302970121123244,0.336567064
7.407407407,0.10615218137022078,0.314928
7.412898443,0.1029746769553478,0.304998648
7.418397626,0.11251746795901474,0.3349831225
7.423904974,0.11289309798042904,0.336119267
7.429420505,0.11707198644241254,0.3488459155
7.434944238,0.1178909860939735,0.3514935575
7.44047619,0.11287509277326714,0.3357978625
7.446016381,0.11071190234523144,0.3291659425
7.451564829,0.10727698560682442,0.318230339
7.457121551,0.1019394525664694,0.30175155200000003
7.462686567,0.1010967892757875,0.29932652000000004
7.468259895,0.1011328369068874,0.299417807
7.473841555,0.10090256108075552,0.2986126995
7.479431563,0.10228146471242942,0.302814189
7.48502994,0.10516664434902284,0.3116428415
7.490636704,0.11461551728848228,0.34111786499999996
7.496251874,0.11524729682386463,0.34318737450000003
7.501875469,0.11390496810007716,0.3391192655
7.507507508,0.11878957836594392,0.354489955
7.513148009,0.15775719484296422,0.47291820900000003
7.518796992,0.10899089866283716,0.323620255
7.524454477,0.14069181009097806,0.4212484785
7.530120482,0.11834198377364982,0.3527168
7.535795026,0.12375844065385828,0.370059229
7.54147813,0.13527661040952896,0.404755135
7.547169811,0.1533766709580957,0.4597104065
7.552870091,0.11892016503215992,0.3543640985
7.558578987,0.11428425362801256,0.340088925
7.56429652,0.11635951723582756,0.3467405055
7.57002271,0.10737351411107564,0.3184699825
7.575757576,0.10259374566649569,0.30370032
7.581501137,0.10185779828349809,0.30150058150000003
7.587253414,0.10500729797278717,0.3110320525
7.593014427,0.10282431870429934,0.30440281950000003
7.598784195,0.1090477287930652,0.323510701
7.604562738,0.10698586265307589,0.3172263265
7.610350076,0.10584280718529744,0.3136361635
7.61614623,0.10343407728966411,0.3062630925
7.62195122,0.10856125159981297,0.3221495295
7.627765065,0.12580183951058652,0.37579834700000003
7.633587786,0.13483541902786933,0.403540915
7.639419404,0.1249674302903588,0.3731104875
7.645259939,0.10614565733637353,0.3146278895
7.651109411,0.12356681770427118,0.369067196
7.656967841,0.1061164315637974,0.315116251
7.662835249,0.10576864639985874,0.314974474
7.668711656,0.10455463391960176,0.31202633599999996
7.674597084,0.10755326692679266,0.32164991499999995
7.680491551,0.10699789766350482,0.320224036
7.686395081,0.13206429441544873,0.39606863400000003
7.692307692,0.11242858281914887,0.33690149999999996
7.698229407,0.1365600028508504,0.4095322225
7.704160247,0.12511144220308693,0.3749531305
7.710100231,0.11161511652241923,0.3316475045
7.716049383,0.13227565188954332,0.3958015105
7.722007722,0.12628723900839897,0.3785045425
7.72797527,0.13841407289252464,0.41509268450000003
7.733952049,0.14159754740135436,0.42439886849999997
7.73993808,0.16733192098670452,0.501780758
7.745933385,0.13663522144325238,0.408753515
7.751937984,0.1516161013807953,0.45429929999999996
7.757951901,0.11716701364446244,0.348836334
7.763975155,0.1057719011048114,0.3133745215
7.77000777,0.11430089622750167,0.339969737
7.776049767,0.1535721258294502,0.4602514265
7.782101167,0.17361050209128645,0.5205486815
7.788161994,0.13753023293224045,0.411834269
7.794232268,0.11998375165947095,0.3596704465
7.800312012,0.14531577334560036,0.4357803885
7.806401249,0.14230604260199942,0.4261575715
7.8125,0.12226247059460596,0.364544
7.818608288,0.1683461609596713,0.5045751565000001
7.824726135,0.14824600253265455,0.4439265915
