lambda_um,PC1_plus,PC2_plus,PC3_plus,PC4_plus,PC5_plus,PC6_plus,PC7_plus,PC8_plus,PC9_plus,PC1_minus,PC2_minus,PC3_minus,PC4_minus,PC5_minus,PC6_minus,PC7_minus,PC8_minus,PC9_minus
2.518257366,0.00064258,-6.15E-05,2.41E-05,2.98E-05,2.32E-05,3.36E-05,-1.91E-05,2.27E-05,-5.36E-06,-0.000582186,6.23E-05,-2.40E-05,-2.96E-05,-2.30E-05,-3.33E-05,1.92E-05,-2.24E-05,5.52E-06
2.518891688,0.000646039,-6.15E-05,2.38E-05,2.95E-05,2.33E-05,3.31E-05,-1.88E-05,2.21E-05,-5.52E-06,-0.00058536,6.21E-05,-2.38E-05,-2.95E-05,-2.35E-05,-3.31E-05,1.86E-05,-2.21E-05,5.36E-06
2.519526329,0.000627755,-6.38E-05,2.68E-05,3.26E-05,2.10E-05,3.84E-05,-2.60E-05,2.95E-05,-5.51E-06,-0.000568367,6.44E-05,-2.68E-05,-3.25E-05,-2.10E-05,-3.81E-05,2.61E-05,-2.93E-05,5.51E-06
2.52016129,0.000647435,-6.12E-05,2.38E-05,2.94E-05,2.31E-05,3.31E-05,-1.86E-05,2.20E-05,-5.35E-06,-0.000586187,6.19E-05,-2.36E-05,-2.93E-05,-2.31E-05,-3.29E-05,1.87E-05,-2.19E-05,5.35E-06
2.520796572,0.000659384,-5.54E-05,1.92E-05,2.49E-05,2.39E-05,2.68E-05,-1.18E-05,1.54E-05,-5.04E-06,-0.000596593,5.57E-05,-1.94E-05,-2.49E-05,-2.38E-05,-2.66E-05,1.16E-05,-1.53E-05,5.04E-06
2.521432173,0.000663141,-5.47E-05,1.87E-05,2.42E-05,2.41E-05,2.58E-05,-1.09E-05,1.46E-05,-4.88E-06,-0.000600225,5.51E-05,-1.87E-05,-2.42E-05,-2.39E-05,-2.58E-05,1.07E-05,-1.45E-05,4.88E-06
2.522068096,0.000648501,-6.35E-05,2.55E-05,3.13E-05,2.26E-05,3.58E-05,-2.20E-05,2.55E-05,-5.50E-06,-0.000587502,6.41E-05,-2.55E-05,-3.13E-05,-2.26E-05,-3.57E-05,2.20E-05,-2.53E-05,5.50E-06
2.522704339,0.000651788,-6.38E-05,2.58E-05,3.16E-05,2.29E-05,3.61E-05,-2.20E-05,2.56E-05,-5.50E-06,-0.000590506,6.46E-05,-2.55E-05,-3.13E-05,-2.28E-05,-3.58E-05,2.22E-05,-2.53E-05,5.66E-06
2.523340903,0.000663081,-6.27E-05,2.42E-05,3.00E-05,2.43E-05,3.36E-05,-1.84E-05,2.23E-05,-5.65E-06,-0.000600416,6.34E-05,-2.40E-05,-2.98E-05,-2.42E-05,-3.33E-05,1.85E-05,-2.20E-05,5.81E-06
2.523977789,0.000634334,-6.44E-05,2.73E-05,3.31E-05,2.07E-05,3.97E-05,-2.76E-05,3.17E-05,-6.12E-06,-0.000573114,6.50E-05,-2.72E-05,-3.30E-05,-2.06E-05,-3.94E-05,2.78E-05,-3.16E-05,6.12E-06
2.524614996,0.000655979,-6.54E-05,2.67E-05,3.28E-05,2.27E-05,3.78E-05,-2.40E-05,2.71E-05,-5.49E-06,-0.00059479,6.62E-05,-2.67E-05,-3.25E-05,-2.27E-05,-3.77E-05,2.40E-05,-2.70E-05,5.49E-06
2.525252525,0.00065502,-6.54E-05,2.68E-05,3.29E-05,2.26E-05,3.81E-05,-2.45E-05,2.79E-05,-5.65E-06,-0.000593392,6.62E-05,-2.67E-05,-3.26E-05,-2.24E-05,-3.78E-05,2.46E-05,-2.76E-05,5.65E-06
2.525890376,0.000665034,-6.60E-05,2.68E-05,3.29E-05,2.34E-05,3.79E-05,-2.37E-05,2.70E-05,-5.49E-06,-0.000603593,6.69E-05,-2.65E-05,-3.26E-05,-2.32E-05,-3.76E-05,2.38E-05,-2.66E-05,5.64E-06
2.52652855,0.000653106,-6.63E-05,2.79E-05,3.38E-05,2.19E-05,3.98E-05,-2.66E-05,2.99E-05,-5.48E-06,-0.000592009,6.70E-05,-2.77E-05,-3.37E-05,-2.18E-05,-3.95E-05,2.68E-05,-2.98E-05,5.64E-06
2.527167046,0.000650584,-6.64E-05,2.80E-05,3.40E-05,2.15E-05,4.01E-05,-2.76E-05,3.10E-05,-5.79E-06,-0.000589361,6.70E-05,-2.80E-05,-3.40E-05,-2.16E-05,-4.01E-05,2.76E-05,-3.10E-05,5.64E-06
